model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008
,,,,,,,,,,,,,AUDI S5,4.2,8.0,Man-6,4WD,Gasoline,small car,6.0,14.0,21.0,16.0,4.0,no
,,,,,,,,,,,,,AUDI S6,5.2,10.0,Auto-S6,4WD,Gasoline,midsize car,6.0,14.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,AUDI S8,5.2,10.0,Auto-S6,4WD,Gasoline,midsize car,6.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI TT Coupe,2.0,4.0,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,26.0,8.0,yes
,,,,,,,,,,,,,AUDI TT Coupe,3.2,6.0,Man-6,4WD,Gasoline,small car,6.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,AUDI TT Coupe,3.2,6.0,Auto-S6,4WD,Gasoline,small car,6.0,18.0,24.0,20.0,6.0,no
,,,,,,,,,,,,,AUDI TT Roadster,2.0,4.0,Auto-S6,2WD,Gasoline,small car,7.0,22.0,29.0,25.0,7.0,yes
,,,,,,,,,,,,,AUDI TT Roadster,3.2,6.0,Man-6,4WD,Gasoline,small car,6.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,AUDI TT Roadster,3.2,6.0,Auto-S6,4WD,Gasoline,small car,6.0,18.0,24.0,20.0,6.0,no
,,,,,,,,,,,,,BENTLEY Arnage,6.7,8.0,Auto-S6,2WD,Gasoline,large car,6.0,9.0,15.0,11.0,0.0,no
,,,,,,,,,,,,,BENTLEY Arnage,6.7,8.0,Auto-S6,2WD,Gasoline,midsize car,6.0,10.0,15.0,11.0,0.0,no
,,,,,,,,,,,,,BENTLEY Azure,6.7,8.0,Auto-S6,2WD,Gasoline,small car,6.0,9.0,15.0,11.0,0.0,no
,,,,,,,,,,,,,BENTLEY Continental Flying Spur,6.0,12.0,Auto-S6,4WD,Gasoline,midsize car,6.0,10.0,17.0,12.0,0.0,no
,,,,,,,,,,,,,BENTLEY Continental GT,6.0,12.0,Auto-S6,4WD,Gasoline,small car,6.0,10.0,17.0,13.0,1.0,no
,,,,,,,,,,,,,BENTLEY Continental GTC,6.0,12.0,Auto-S6,4WD,Gasoline,small car,6.0,10.0,17.0,12.0,0.0,no
,,,,,,,,,,,,,BMW 328ci,3.0,6.0,Man-6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW 328ci,3.0,6.0,Auto-S6,2WD,Gasoline,small car,9.5,23.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,BMW 328ci,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW 328ci,3.0,6.0,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,BMW 328ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,9.5,19.0,29.0,22.0,6.0,yes
,,,,,,,,,,,,,BMW 328ci Convertible,3.0,6.0,Auto-S6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW 328ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,19.0,29.0,22.0,6.0,yes
,,,,,,,,,,,,,BMW 328ci Convertible,3.0,6.0,Auto-S6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW 328cxi,3.0,6.0,Auto-S6,4WD,Gasoline,small car,9.5,20.0,27.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 328cxi,3.0,6.0,Man-6,4WD,Gasoline,small car,7.0,19.0,28.0,22.0,6.0,yes
